trait,master_species,value,unit,resource_id,contributor_id
substrate_attachment,Balanophyllia.laysanensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia.malouiensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia.merguiensis,attached,cat,,jmadin
substrate_attachment,Balanophyllia.palifera,attached,cat,,jmadin
substrate_attachment,Balanophyllia.parallela,attached,cat,,jmadin
substrate_attachment,Balanophyllia.parvula,attached,cat,,jmadin
substrate_attachment,Balanophyllia.pittieri,unattached,cat,,jmadin
substrate_attachment,Balanophyllia.ponderosa,attached,cat,,jmadin
substrate_attachment,Balanophyllia.profundicella,attached,cat,,jmadin
substrate_attachment,Balanophyllia.rediviva,attached,cat,,jmadin
substrate_attachment,Balanophyllia.regalis,unattached,cat,,jmadin
substrate_attachment,Balanophyllia.regia,attached,cat,,jmadin
substrate_attachment,Balanophyllia.scabra,attached,cat,,jmadin
substrate_attachment,Balanophyllia.scabrosa,attached,cat,,jmadin
substrate_attachment,Balanophyllia.serrata,attached,cat,,jmadin
substrate_attachment,Balanophyllia.stimpsonii,unattached,cat,,jmadin
substrate_attachment,Balanophyllia.taprobanae,attached,cat,,jmadin
substrate_attachment,Balanophyllia.tenuis,attached,cat,,jmadin
substrate_attachment,Balanophyllia.teres,attached,cat,,jmadin
substrate_attachment,Balanophyllia.thalassae,attached,cat,,jmadin
substrate_attachment,Balanophyllia.wellsi,attached,cat,,jmadin
substrate_attachment,Balanophyllia.yongei,attached,cat,,jmadin
substrate_attachment,Barabattoia.amicorum,attached,cat,,jmadin
substrate_attachment,Barabattoia.laddi,attached,cat,,jmadin
substrate_attachment,Bathypsammia.fallosocialis,attached,cat,,jmadin
substrate_attachment,Bathypsammia.tintinnabulum,attached,cat,,jmadin
substrate_attachment,Blastomussa.merleti,attached,cat,,jmadin
substrate_attachment,Blastomussa.wellsi,attached,cat,,jmadin
substrate_attachment,Boninastrea.boninensis,attached,cat,,jmadin
substrate_attachment,Bourneotrochus.stellulatus,unattached,cat,,jmadin
substrate_attachment,Cantharellus.doederleini,attached,cat,,jmadin
substrate_attachment,Cantharellus.jebbi,attached,cat,,jmadin
substrate_attachment,Cantharellus.noumeae,attached,cat,,jmadin
substrate_attachment,Caryophyllia.abyssorum,attached,cat,,jmadin
substrate_attachment,Caryophyllia.alaskensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia.alberti,attached,cat,,jmadin
substrate_attachment,Caryophyllia.ambrosiaambrosia,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.ambrosiacaribbeana,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.antarctica,attached,cat,,jmadin
substrate_attachment,Caryophyllia.antillarum,attached,cat,,jmadin
substrate_attachment,Caryophyllia.arnoldi,attached,cat,,jmadin
substrate_attachment,Caryophyllia.atlantica,attached,cat,,jmadin
substrate_attachment,Caryophyllia.barbadensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia.berteriana,attached,cat,,jmadin
substrate_attachment,Caryophyllia.calveri,attached,cat,,jmadin
substrate_attachment,Caryophyllia.capensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia.cornuformis,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.corrugata,attached,cat,,jmadin
substrate_attachment,Caryophyllia.decamera,attached,cat,,jmadin
substrate_attachment,Caryophyllia.diomedeae,attached,cat,,jmadin
substrate_attachment,Caryophyllia.eltaninae,attached,cat,,jmadin
substrate_attachment,Caryophyllia.ephyala,attached,cat,,jmadin
substrate_attachment,Caryophyllia.foresti,attached,cat,,jmadin
substrate_attachment,Caryophyllia.grandis,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.hawaiiensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia.horologium,attached,cat,,jmadin
substrate_attachment,Caryophyllia.inornata,attached,cat,,jmadin
substrate_attachment,Caryophyllia.japonica,attached,cat,,jmadin
substrate_attachment,Caryophyllia.jogashimaensis,attached,cat,,jmadin
substrate_attachment,Caryophyllia.lamellifera,attached,cat,,jmadin
substrate_attachment,Caryophyllia.mabahithi,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.marmorea,attached,cat,,jmadin
substrate_attachment,Caryophyllia.octopali,attached,cat,,jmadin
substrate_attachment,Caryophyllia.paradoxus,attached,cat,,jmadin
substrate_attachment,Caryophyllia.paucipalata,attached,cat,,jmadin
substrate_attachment,Caryophyllia.pauciseptata,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.perculta,attached,cat,,jmadin
substrate_attachment,Caryophyllia.planilamellata,both,cat,,jmadin
substrate_attachment,Caryophyllia.polygona,attached,cat,,jmadin
substrate_attachment,Caryophyllia.profunda,attached,cat,,jmadin
substrate_attachment,Caryophyllia.quadragenaria,attached,cat,,jmadin
substrate_attachment,Caryophyllia.ralphae,attached,cat,,jmadin
substrate_attachment,Caryophyllia.rugosa,attached,cat,,jmadin
substrate_attachment,Caryophyllia.sarsiae,attached,cat,,jmadin
substrate_attachment,Caryophyllia.scillaemorpha,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.scobinosa,attached,cat,,jmadin
substrate_attachment,Caryophyllia.seguenzae,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.sewelli,attached,cat,,jmadin
substrate_attachment,Caryophyllia.smithii,attached,cat,,jmadin
substrate_attachment,Caryophyllia.solida,attached,cat,,jmadin
substrate_attachment,Caryophyllia.spinigera,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.squiresi,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.stellula,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.transversalis,unattached,cat,,jmadin
substrate_attachment,Caryophyllia.zopyros,attached,cat,,jmadin
substrate_attachment,Catalaphyllia.jardinei,attached,cat,,jmadin
substrate_attachment,Caulastrea.connata,attached,cat,,jmadin
substrate_attachment,Caulastrea.curvata,attached,cat,,jmadin
substrate_attachment,Caulastrea.echinulata,attached,cat,,jmadin
substrate_attachment,Caulastrea.furcata,attached,cat,,jmadin
substrate_attachment,Caulastrea.tumida,attached,cat,,jmadin
substrate_attachment,Cladocora.arbuscula,attached,cat,,jmadin
substrate_attachment,Cladocora.caespitosa,attached,cat,,jmadin
substrate_attachment,Cladocora.debilis,attached,cat,,jmadin
substrate_attachment,Cladocora.pacifica,attached,cat,,jmadin
substrate_attachment,Cladopsammia.echinata,attached,cat,,jmadin
substrate_attachment,Cladopsammia.eguchii,attached,cat,,jmadin
substrate_attachment,Cladopsammia.gracilis,attached,cat,,jmadin
substrate_attachment,Cladopsammia.manuelensis,attached,cat,,jmadin
substrate_attachment,Cladopsammia.rolandi,attached,cat,,jmadin
substrate_attachment,Cladopsammia.willeyi,attached,cat,,jmadin
substrate_attachment,Coeloseris.mayeri,attached,cat,,jmadin
substrate_attachment,Coenocyathus.anthophyllites,attached,cat,,jmadin
substrate_attachment,Coenocyathus.bowersi,attached,cat,,jmadin
substrate_attachment,Coenocyathus.brooki,attached,cat,,jmadin
substrate_attachment,Coenocyathus.cylindricus,attached,cat,,jmadin
substrate_attachment,Coenocyathus.goreaui,attached,cat,,jmadin
substrate_attachment,Coenocyathus.parvula,attached,cat,,jmadin
substrate_attachment,Coenosmilia.arbuscula,attached,cat,,jmadin
substrate_attachment,Coenosmilia.inordinata,attached,cat,,jmadin
substrate_attachment,Colangia.immersa,attached,cat,,jmadin
substrate_attachment,Colangia.moseleyi,attached,cat,,jmadin
substrate_attachment,Colpophyllia.amaranthus,attached,cat,,jmadin
substrate_attachment,Colpophyllia.breviserialis,attached,cat,,jmadin
substrate_attachment,Colpophyllia.natans,attached,cat,,jmadin
substrate_attachment,Concentrotheca.vaughani,attached,cat,,jmadin
substrate_attachment,Conocyathus.zelandiae,unattached,cat,,jmadin
substrate_attachment,Conotrochus.asymmetros,both,cat,,jmadin
substrate_attachment,Conotrochus.brunneus,attached,cat,,jmadin
substrate_attachment,Conotrochus.funicolumna,both,cat,,jmadin
substrate_attachment,Coscinaraea.columna,attached,cat,,jmadin
substrate_attachment,Coscinaraea.crassa,attached,cat,,jmadin
substrate_attachment,Coscinaraea.exesa,attached,cat,,jmadin
substrate_attachment,Coscinaraea.hahazimaensis,attached,cat,,jmadin
substrate_attachment,Coscinaraea.marshae,attached,cat,,jmadin
substrate_attachment,Coscinaraea.mcneilli,attached,cat,,jmadin
