trait,master_species,value
substrate_attachment,Deltocyathus.vaughani,unattached
substrate_attachment,Dendrogyra.cylindrus,attached
substrate_attachment,Dendrophyllia.alcocki,attached
substrate_attachment,Dendrophyllia.alternata,attached
substrate_attachment,Dendrophyllia.arbuscula,attached
substrate_attachment,Dendrophyllia.boschmai,attached
substrate_attachment,Dendrophyllia.californica,attached
substrate_attachment,Dendrophyllia.carleenae,attached
substrate_attachment,Dendrophyllia.cladonia,attached
substrate_attachment,Dendrophyllia.cornigera,attached
substrate_attachment,Dendrophyllia.cribrosa,attached
substrate_attachment,Dendrophyllia.dilatata,attached
substrate_attachment,Dendrophyllia.florulenta,attached
substrate_attachment,Dendrophyllia.ijimai,attached
substrate_attachment,Dendrophyllia.indica,attached
substrate_attachment,Dendrophyllia.johnsoni,attached
substrate_attachment,Dendrophyllia.minuscula,attached
substrate_attachment,Dendrophyllia.oldroydae,attached
substrate_attachment,Dendrophyllia.ramea,attached
substrate_attachment,Desmophyllum.dianthus,attached
substrate_attachment,Desmophyllum.striatum,attached
substrate_attachment,Dichocoenia.stokesi,attached
substrate_attachment,Dichopsammia.granulosa,attached
substrate_attachment,Diploastrea.heliopora,attached
substrate_attachment,Diploria.clivosa,attached
substrate_attachment,Diploria.labyrinthiformis,attached
substrate_attachment,Diploria.strigosa,attached
substrate_attachment,Duncanopsammia.axifuga,attached
substrate_attachment,Echinomorpha.nishihirai,attached
substrate_attachment,Echinophyllia.aspera,attached
substrate_attachment,Echinophyllia.costata,attached
substrate_attachment,Echinophyllia.echinata,attached
substrate_attachment,Echinophyllia.echinoporoides,attached
substrate_attachment,Echinophyllia.orpheensis,attached
substrate_attachment,Echinophyllia.patula,attached
substrate_attachment,Echinophyllia.pectinata,attached
substrate_attachment,Echinophyllia.taylorae,attached
substrate_attachment,Echinopora.ashmorensis,attached
substrate_attachment,Echinopora.forskaliana,attached
substrate_attachment,Echinopora.fruticulosa,attached
substrate_attachment,Echinopora.gemmacea,attached
substrate_attachment,Echinopora.grandicula,attached
substrate_attachment,Echinopora.hirsutissima,attached
substrate_attachment,Echinopora.horrida,attached
substrate_attachment,Echinopora.irregularis,attached
substrate_attachment,Echinopora.lamellosa,attached
substrate_attachment,Echinopora.mammiformis,attached
substrate_attachment,Echinopora.pacificus,attached
substrate_attachment,Echinopora.robusta,attached
substrate_attachment,Echinopora.taylorae,attached
substrate_attachment,Echinopora.tiranensis,attached
substrate_attachment,Eguchipsammia.cornucopia,unattached
substrate_attachment,Eguchipsammia.fistula,unattached
substrate_attachment,Eguchipsammia.gaditana,unattached
substrate_attachment,Eguchipsammia.japonica,unattached
substrate_attachment,Eguchipsammia.serpentina,unattached
substrate_attachment,Eguchipsammia.wellsi,unattached
substrate_attachment,Endopachys.bulbosa,unattached
substrate_attachment,Endopachys.grayi,unattached
substrate_attachment,Endopsammia.philippensis,attached
substrate_attachment,Endopsammia.pourtalesi,attached
substrate_attachment,Endopsammia.regularis,attached
substrate_attachment,Enigmopora.darveliensis,attached
substrate_attachment,Ericiocyathus.echinatus,unattached
substrate_attachment,Erythrastrea.flabellata,attached
substrate_attachment,Euphyllia.ancora,attached
substrate_attachment,Euphyllia.cristata,attached
substrate_attachment,Euphyllia.divisa,attached
substrate_attachment,Euphyllia.glabrescens,attached
substrate_attachment,Euphyllia.paradivisa,attached
substrate_attachment,Euphyllia.paraglabrescens,attached
substrate_attachment,Euphyllia.yaeyamaensis,attached
substrate_attachment,Eusmilia.fastigiata,attached
substrate_attachment,Favia.albidus,attached
substrate_attachment,Favia.danae,attached
substrate_attachment,Favia.favus,attached
substrate_attachment,Favia.fragum,attached
substrate_attachment,Favia.gravida,attached
substrate_attachment,Favia.helianthoides,attached
substrate_attachment,Favia.lacuna,attached
substrate_attachment,Favia.laxa,attached
substrate_attachment,Favia.leptophylla,attached
substrate_attachment,Favia.lizardensis,attached
substrate_attachment,Favia.maritima,attached
substrate_attachment,Favia.marshae,attached
substrate_attachment,Favia.matthaii,attached
substrate_attachment,Favia.maxima,attached
substrate_attachment,Favia.pallida,attached
substrate_attachment,Favia.rosaria,attached
substrate_attachment,Favia.rotumana,attached
substrate_attachment,Favia.rotundata,attached
substrate_attachment,Favia.speciosa,attached
substrate_attachment,Favia.stelligera,attached
substrate_attachment,Favia.truncatus,attached
substrate_attachment,Favia.veroni,attached
substrate_attachment,Favia.vietnamensis,attached
substrate_attachment,Favia.wisseli,attached
